Date,Demand,Forecast,Prediction
26/10/2015,9862.083333,9878.75,9833.75
27/10/2015,10730,10510.08333,10465.08333
28/10/2015,10554.5,10420.125,10375.125
29/10/2015,10234.08333,10153.29167,10108.29167
30/10/2015,10011.625,10024.66667,9979.666667
31/10/2015,9517.75,9630.875,9585.875
01/11/2015,8926.347826,8895.304348,8850.304348
02/11/2015,9983.875,9768.166667,9723.166667
03/11/2015,10290.16667,10103.04167,10058.04167
04/11/2015,10225.08333,10101.875,10056.875
05/11/2015,10255.66667,10126.91667,10081.91667
06/11/2015,10316.83333,10299.95833,10254.95833
07/11/2015,9716.833333,9881.666667,9836.666667
08/11/2015,8992.666667,9033.625,8988.625
09/11/2015,10790.45833,10927.45833,10882.45833
10/11/2015,10610.375,10942.33333,10897.33333
11/11/2015,10467.875,10597.16667,10552.16667
12/11/2015,10503.54167,10321.375,10276.375
13/11/2015,10162.41667,10508.875,10463.875
14/11/2015,10364.41667,11019.33333,10974.33333
15/11/2015,10583.95833,10699.79167,10654.79167
16/11/2015,11117.54167,11054.5,11009.5
17/11/2015,10779.79167,10947.83333,10902.83333
18/11/2015,10557.95833,10467.875,10422.875
19/11/2015,10385.75,10119.41667,10074.41667
20/11/2015,10266.79167,10364.375,10319.375
21/11/2015,10574.08333,10939.25,10894.25
22/11/2015,9801.833333,10708.29167,10663.29167
23/11/2015,12156.375,12605.75,12560.75
24/11/2015,12705,12936.70833,12891.70833
25/11/2015,11936.45833,12079.29167,12034.29167
26/11/2015,10378.70833,10636.79167,10591.79167
27/11/2015,8891.75,9186.791667,9141.791667
28/11/2015,8844.75,9163.125,9118.125
29/11/2015,8669.958333,8902.166667,8857.166667
30/11/2015,10074.125,10401.45833,10356.45833
01/12/2015,11230.125,10753.91667,10708.91667
02/12/2015,10828.41667,10644.54167,10599.54167
03/12/2015,11203.95833,11049.91667,11004.91667
04/12/2015,12304.45833,12140.25,12095.25
05/12/2015,11891.5,11633.625,11588.625
06/12/2015,11177.875,11064.08333,11019.08333
07/12/2015,11455.83333,11381.625,11336.625
08/12/2015,11519.125,11606,11561
09/12/2015,11583.58333,11411.125,11366.125
10/12/2015,11004.58333,11294.625,11249.625
11/12/2015,10481.5,10717.20833,10672.20833
12/12/2015,9589.791667,9696.583333,9651.583333
13/12/2015,9141.25,9314.958333,9269.958333
14/12/2015,10099.5,10080.5,10035.5
15/12/2015,10396.41667,10494.04167,10449.04167
16/12/2015,10677.08333,10579.625,10534.625
17/12/2015,10720.70833,10448.375,10403.375
18/12/2015,10502.66667,11025.33333,10980.33333
19/12/2015,12181.375,12490.58333,12445.58333
20/12/2015,11922.83333,12184.45833,12139.45833
21/12/2015,11617.25,12015.25,11970.25
22/12/2015,10737.45833,11126.66667,11081.66667
23/12/2015,9978.958333,10050.75,10005.75
24/12/2015,9119.833333,9202.333333,9157.333333
25/12/2015,8485.625,8411.75,8366.75
26/12/2015,8227.083333,8662.791667,8617.791667
27/12/2015,8424.583333,8376.083333,8331.083333
28/12/2015,9279.041667,8997.375,8952.375
29/12/2015,9809,9449.666667,9404.666667
30/12/2015,9824.208333,9503.833333,9458.833333
31/12/2015,9317.875,9273.791667,9228.791667
01/01/2016,9056.833333,9364.541667,9319.541667
02/01/2016,10279.66667,10836.125,10791.125
03/01/2016,11279.83333,11029.45833,10984.45833
04/01/2016,12517.66667,12681,12636
05/01/2016,14475.125,14587.58333,14542.58333
06/01/2016,14939.375,14798.16667,14753.16667
07/01/2016,13074.29167,13698.41667,13653.41667
08/01/2016,12190.20833,12392.54167,12347.54167
09/01/2016,11155.875,11130.25,11085.25
10/01/2016,10164.16667,10087.625,10042.625
11/01/2016,13231.375,13153.375,13108.375
12/01/2016,13978.125,13588.16667,13543.16667
13/01/2016,13380.625,14126.125,14081.125
14/01/2016,13300.5,13652.29167,13607.29167
15/01/2016,12680.95833,12604.04167,12559.04167
16/01/2016,11010.79167,11709.5,11664.5
17/01/2016,11217.08333,11144.54167,11099.54167
18/01/2016,13621.875,13529.125,13484.125
19/01/2016,16174.95833,15885.125,15840.125
20/01/2016,15855.5,15804,15759
21/01/2016,14524.95833,14504.125,14459.125
22/01/2016,14487.375,14595.08333,14550.08333
23/01/2016,14395.125,14064.20833,14019.20833
24/01/2016,13632.58333,13699.45833,13654.45833
25/01/2016,13493.375,13697.16667,13652.16667
26/01/2016,13154.16667,12883.66667,12838.66667
27/01/2016,11934.29167,12099.375,12054.375
28/01/2016,13084.58333,12865.29167,12820.29167
29/01/2016,12822.20833,12864.83333,12819.83333
30/01/2016,12133.79167,12140.08333,12095.08333
31/01/2016,10943.41667,10494.70833,10449.70833
01/02/2016,10433.5,10451.79167,10406.79167
02/02/2016,10582.66667,10873.08333,10828.08333
03/02/2016,10869.45833,10760.75,10715.75
04/02/2016,10558.41667,10700.83333,10655.83333
05/02/2016,11889.16667,12184,12139
06/02/2016,12674.08333,12888.91667,12843.91667
07/02/2016,11771.91667,11925.875,11880.875
08/02/2016,12741.45833,12379.25,12334.25
09/02/2016,13648.20833,13498,13453
10/02/2016,15176.29167,14934.25,14889.25
11/02/2016,15183.20833,15646.875,15601.875
12/02/2016,14388,14964.20833,14919.20833
13/02/2016,13438.08333,14334.5,14289.5
14/02/2016,15118.08333,15051.66667,15006.66667
15/02/2016,15767.66667,15244.29167,15199.29167
16/02/2016,13565.83333,13752.375,13707.375
17/02/2016,11858.70833,12400.45833,12355.45833
18/02/2016,12602.25,12871.66667,12826.66667
19/02/2016,12430.58333,12897.08333,12852.08333
20/02/2016,10694.5,10856.83333,10811.83333
21/02/2016,9657.416667,9629.958333,9584.958333
22/02/2016,10224.5,10231.95833,10186.95833
23/02/2016,11453.29167,11396.375,11351.375
24/02/2016,11243.91667,11244.66667,11199.66667
25/02/2016,11553.08333,11258.20833,11213.20833
26/02/2016,12400.79167,12512.91667,12467.91667
27/02/2016,12030.45833,12357.625,12312.625
28/02/2016,10798.95833,11307.79167,11262.79167
29/02/2016,10232.04167,10692.29167,10647.29167
01/03/2016,10471.875,10753.625,10708.625
02/03/2016,10421.41667,10954.58333,10909.58333
03/03/2016,12551.04167,12445.83333,12400.83333
04/03/2016,12166.125,12156.83333,12111.83333
05/03/2016,11194.20833,11215.41667,11170.41667
06/03/2016,9995.208333,10320.66667,10275.66667
07/03/2016,10964.25,10973.875,10928.875
08/03/2016,10550.70833,10821.125,10776.125
09/03/2016,10142.08333,10344.125,10299.125
10/03/2016,10115.79167,10304.54167,10259.54167
11/03/2016,10285.04167,10274.25,10229.25
12/03/2016,9597.916667,9577.833333,9532.833333
13/03/2016,9206.208333,8905.208333,8860.208333
14/03/2016,9807.708333,9989.041667,9944.041667
15/03/2016,10301.95833,10310.16667,10265.16667
16/03/2016,10561.29167,10480.75,10435.75
17/03/2016,10241.79167,10035.375,9990.375
18/03/2016,9848.958333,9705.541667,9660.541667
19/03/2016,9177.666667,9151.625,9106.625
20/03/2016,9719.75,9651.083333,9606.083333
21/03/2016,11035.79167,11727.45833,11682.45833
22/03/2016,11219.58333,11524.66667,11479.66667
23/03/2016,10311.625,10487.41667,10442.41667
24/03/2016,9971.75,10046.08333,10001.08333
25/03/2016,9481.875,9469.541667,9424.541667
26/03/2016,8644.166667,8764.75,8719.75
27/03/2016,8411.791667,8485.25,8440.25
28/03/2016,9387.041667,9731.458333,9686.458333
29/03/2016,9809.666667,10058.54167,10013.54167
30/03/2016,10058.75,10168.20833,10123.20833
31/03/2016,9938.083333,9833.708333,9788.708333
01/04/2016,10013.33333,10044.33333,9999.333333
02/04/2016,9092.916667,9095.041667,9050.041667
03/04/2016,8805.791667,8931.625,8886.625
04/04/2016,9910.083333,9842.458333,9797.458333
05/04/2016,9938.5,9878.791667,9833.791667
06/04/2016,10899.875,11027.79167,10982.79167
07/04/2016,10204.95833,9962.208333,9917.208333
08/04/2016,10051.41667,9884.083333,9839.083333
09/04/2016,9804.75,9665.708333,9620.708333
10/04/2016,10170.125,10114.54167,10069.54167
11/04/2016,10164.83333,9988,9943
12/04/2016,10053.70833,10017.83333,9972.833333
13/04/2016,10026.91667,9999.125,9954.125
14/04/2016,10122.08333,10135.08333,10090.08333
15/04/2016,9951.791667,9979.625,9934.625
16/04/2016,9193.583333,9362.458333,9317.458333
17/04/2016,8885.083333,8843.25,8798.25
18/04/2016,10051.375,9805.75,9760.75
19/04/2016,10705.375,10680.41667,10635.41667
20/04/2016,10656.54167,10684.875,10639.875
21/04/2016,10598.70833,10174.04167,10129.04167
22/04/2016,10293.79167,10218.70833,10173.70833
23/04/2016,9308.083333,9430.75,9385.75
24/04/2016,8893.333333,8985.333333,8940.333333
25/04/2016,10306.66667,10272.08333,10227.08333
26/04/2016,11164.95833,11140.66667,11095.66667
27/04/2016,11787.83333,11813.875,11768.875
28/04/2016,12071.625,11975.75,11930.75
29/04/2016,11686.54167,11601.125,11556.125
30/04/2016,10106.375,10451.875,10406.875
01/05/2016,9506,9787.708333,9742.708333
02/05/2016,11358.41667,11007.20833,10962.20833
03/05/2016,11298.16667,11240.25,11195.25
04/05/2016,10548.58333,10476.16667,10431.16667
05/05/2016,9965.958333,10108.25,10063.25
06/05/2016,9951.166667,10033.45833,9988.458333
07/05/2016,9153.375,9342.833333,9297.833333
08/05/2016,9602,9491.5,9446.5
09/05/2016,11012.25,11291.375,11246.375
10/05/2016,11645.91667,11764.66667,11719.66667
11/05/2016,11825.20833,11826,11781
12/05/2016,12311.70833,12170.20833,12125.20833
13/05/2016,11509.33333,11791.83333,11746.83333
14/05/2016,10017.33333,10065.91667,10020.91667
15/05/2016,8813.958333,8923.208333,8878.208333
16/05/2016,9697.333333,9852.875,9807.875
17/05/2016,10286.58333,10328.875,10283.875
18/05/2016,10532.125,10410,10365
19/05/2016,10289.29167,10266.20833,10221.20833
20/05/2016,9835.541667,9938.041667,9893.041667
21/05/2016,9376.916667,9401.75,9356.75
22/05/2016,9114.958333,9134.75,9089.75
23/05/2016,9883.041667,10167.20833,10122.20833
24/05/2016,10619.33333,11205.33333,11160.33333
25/05/2016,11664.20833,12001.45833,11956.45833
26/05/2016,12433.16667,12802.5,12757.5
27/05/2016,12609.875,12543.54167,12498.54167
28/05/2016,11242.41667,11376.75,11331.75
29/05/2016,9949.041667,10485.04167,10440.04167
30/05/2016,10275.83333,10665.29167,10620.29167
31/05/2016,12551.95833,12330.5,12285.5
01/06/2016,13124.16667,13049.29167,13004.29167
02/06/2016,13013.79167,13423.70833,13378.70833
03/06/2016,13460.875,13726.83333,13681.83333
04/06/2016,13270.375,13155.04167,13110.04167
05/06/2016,12100.375,12290.04167,12245.04167
06/06/2016,12684.20833,12875.29167,12830.29167
07/06/2016,13074.04167,13109,13064
08/06/2016,12080.875,12247.70833,12202.70833
09/06/2016,11658.95833,11699.125,11654.125
10/06/2016,12239.41667,12221.125,12176.125
11/06/2016,12779.04167,12552.41667,12507.41667
12/06/2016,13378.83333,13102.625,13057.625
13/06/2016,14052.79167,13647.41667,13602.41667
14/06/2016,14352.29167,13994.45833,13949.45833
15/06/2016,14401.70833,15240.41667,15195.41667
16/06/2016,14757.58333,15075.20833,15030.20833
17/06/2016,14428.75,14363.20833,14318.20833
18/06/2016,11735.875,11720.79167,11675.79167
19/06/2016,10458.33333,10497.375,10452.375
20/06/2016,12101,12092.29167,12047.29167
21/06/2016,13677.5,13806.375,13761.375
22/06/2016,14677.58333,14942.95833,14897.95833
23/06/2016,15418.75,15535.04167,15490.04167
