Date,Demand,Forecast,Prediction
27/08/2017,13729.60714,13402.47024,13392.47024
03/09/2017,11375.38095,11489.45833,11479.45833
10/09/2017,10508.70833,10804.83929,10794.83929
17/09/2017,10932.25595,11203.47024,11193.47024
24/09/2017,12467.48214,12587.75595,12577.75595
01/10/2017,11912.59524,11854.97619,11844.97619
08/10/2017,10553.7381,10553.22024,10543.22024
15/10/2017,11993.25,11785.96429,11775.96429
22/10/2017,9984.464286,10136.61905,10126.61905
29/10/2017,10003.1369,10077.34524,10067.34524
05/11/2017,10233.5,10249.65476,10239.65476
12/11/2017,10883.85119,10906.19048,10896.19048
19/11/2017,10999.47619,10887.58333,10877.58333
26/11/2017,10962.23214,10927.7619,10917.7619
03/12/2017,11215.98621,11281.89655,11271.89655
10/12/2017,12218.92857,12133.29762,12123.29762
17/12/2017,13337.1131,13211.76786,13201.76786
24/12/2017,10774.82738,10912.05952,10902.05952
31/12/2017,12841.46429,12858.83333,12848.83333
07/01/2018,17334.70238,16693.10119,16683.10119
14/01/2018,13112.0922,13277.97163,13267.97163
21/01/2018,14694.54762,14771.49405,14761.49405
28/01/2018,11889.16667,12062.7381,12052.7381
04/02/2018,13166.41611,13066.26174,13056.26174
11/02/2018,11631.06522,11667.7971,11657.7971
18/02/2018,10742.01786,11033.7619,11023.7619
25/02/2018,10229.83333,10390.95833,10380.95833
04/03/2018,10884.625,11045.39881,11035.39881
11/03/2018,11947.52381,11886.56548,11876.56548
18/03/2018,11696.29762,11554.49405,11544.49405
25/03/2018,11476.02976,11514.03571,11504.03571
01/04/2018,10309.07738,10746.80357,10736.80357
08/04/2018,10140.136,8159.104,8149.104
15/04/2018,10598.125,10463.875,10453.875
