SOCO,2015,7,33021.31048387097
PSEI,2015,7,3278.69623655914
OVEC,2015,7,77.11843876177659
BANC,2015,7,2382.896505376344
ISNE,2015,7,16432.236559139787
LDWP,2015,7,3574.5725806451615
PACW,2015,7,1954.5760430686407
AECI,2015,7,2594.4314516129034
TIDC,2015,7,383.96370967741933
LGEE,2015,7,4677.407258064516
SCEG,2015,7,3394.3709677419356
BPAT,2015,7,6130.941011235955
SWPP,2015,7,33042.104838709674
AZPS,2015,7,4679.2755376344085
NWMT,2015,7,1320.9314516129032
PGE,2015,7,2581.7096774193546
EPE,2015,7,1216.8051075268818
CISO,2015,7,30045.872628726287
NYIS,2015,7,21291.119623655915
SPA,2015,7,89.03360215053763
AVA,2015,7,1284.3319892473119
CHPD,2015,7,442.7970430107527
WALC,2015,7,1119.616935483871
NSB,2015,7,59.79032258064516
SCL,2015,7,1044.125
FPC,2015,7,7025.694892473119
SRP,2015,7,4430.344086021505
CPLE,2015,7,8346.131720430107
PACE,2015,7,7283.6985195154775
FMPP,2015,7,2377.1008064516127
TPWR,2015,7,506.6532258064516
PSCO,2015,7,5457.0161290322585
ERCO,2015,7,49652.67338709677
JEA,2015,7,1898.616935483871
TVA,2015,7,21042.975806451614
TEPC,2015,7,1927.8293010752689
GCPD,2015,7,664.7083333333334
MISO,2015,7,87099.5376344086
IID,2015,7,440.9891304347826
IPCO,2015,7,2471.2540322580644
HST,2015,7,72.84118438761777
TAL,2015,7,378.3225806451613
NEVP,2015,7,5216.823924731183
DOPD,2015,7,183.03897849462365
DUK,2015,7,13836.431451612903
GVL,2015,7,272.7231182795699
SEC,2015,7,160.2029569892473
SC,2015,7,3661.3763440860216
FPL,2015,7,16364.014784946237
PJM,2015,7,102164.40994623656
TEC,2015,7,2722.9986559139784
AEC,2015,7,639.4475806451613
WACM,2015,7,3117.6397849462364
EEI,2015,7,0.0
PNM,2015,7,1835.1922043010752
CPLW,2015,7,576.2325268817204
TPWR,2015,8,494.18548387096774
MISO,2015,8,84080.74865591398
WACM,2015,8,3177.4475806451615
ISNE,2015,8,16653.977150537634
SOCO,2015,8,31726.627688172044
GCPD,2015,8,620.7647849462365
AVA,2015,8,1227.369623655914
JEA,2015,8,1801.4583333333333
SCEG,2015,8,3202.4825268817203
TAL,2015,8,378.63844086021504
FMPP,2015,8,2379.6276881720432
EPE,2015,8,1263.8844086021506
CISO,2015,8,31285.387096774193
NEVP,2015,8,5403.731182795699
PSEI,2015,8,3230.173387096774
DUK,2015,8,13210.572580645161
PSCO,2015,8,5518.862903225807
BANC,2015,8,2316.185483870968
NSB,2015,8,57.07258064516129
TEC,2015,8,2760.7325268817203
ERCO,2015,8,49706.040322580644
OVEC,2015,8,81.9489247311828
SEC,2015,8,171.11693548387098
PNM,2015,8,1887.1908602150538
FPL,2015,8,16534.577956989247
AEC,2015,8,614.8427419354839
TEPC,2015,8,2039.0739247311828
CPLE,2015,8,7828.083333333333
GVL,2015,8,272.68951612903226
IPCO,2015,8,2410.7594086021504
BPAT,2015,8,5897.029569892473
AZPS,2015,8,5034.102288021534
IID,2015,8,553.060975609756
SWPP,2015,8,31349.34946236559
PACE,2015,8,6732.3387096774195
FPC,2015,8,7075.67876344086
CPLW,2015,8,563.1397849462365
PJM,2015,8,99658.22311827957
AECI,2015,8,2322.162634408602
SC,2015,8,3378.0241935483873
TIDC,2015,8,374.3010752688172
CHPD,2015,8,424.0806451612903
SRP,2015,8,4704.670698924731
WALC,2015,8,1155.2647849462367
HST,2015,8,74.19354838709677
NWMT,2015,8,1295.0591397849462
LGEE,2015,8,4454.583333333333
NYIS,2015,8,21290.975806451614
DOPD,2015,8,168.95430107526883
TVA,2015,8,19372.40322580645
SPA,2015,8,82.4260752688172
PGE,2015,8,2520.141129032258
SCL,2015,8,1025.5456989247311
PACW,2015,8,1932.119623655914
LDWP,2015,8,3960.7459677419356
SPA,2015,9,72.90972222222223
PSEI,2015,9,3108.4666666666667
NEVP,2015,9,4821.548611111111
BPAT,2015,9,5526.981944444445
HST,2015,9,70.42241379310344
PACW,2015,9,1760.1819444444445
DOPD,2015,9,144.89511494252875
AECI,2015,9,2147.1722222222224
LDWP,2015,9,4025.0333333333333
WAUW,2015,9,73.97560975609755
TVA,2015,9,17807.956944444446
IPCO,2015,9,1873.5555555555557
ISNE,2015,9,15141.175
WACM,2015,9,2876.079166666667
GVL,2015,9,256.61494252873564
CPLE,2015,9,7060.5263888888885
SEC,2015,9,158.36666666666667
PNM,2015,9,1742.6194444444445
NYIS,2015,9,19747.13888888889
CPLW,2015,9,509.3236111111111
GCPD,2015,9,516.8652777777778
MISO,2015,9,79205.95277777778
PSCO,2015,9,5000.570833333333
NSB,2015,9,54.132183908045974
SRP,2015,9,3996.85
SC,2015,9,3031.9555555555557
NWMT,2015,9,1204.4652777777778
IID,2015,9,539.2098591549296
AZPS,2015,9,4283.815277777778
FPC,2015,9,6673.345833333334
AVA,2015,9,1156.3013888888888
DUK,2015,9,11599.226388888888
SWPP,2015,9,28682.383333333335
JEA,2015,9,1620.0041666666666
FPL,2015,9,15871.585195530726
TAL,2015,9,340.7772988505747
SCEG,2015,9,2865.463888888889
EPE,2015,9,1129.7027777777778
PGE,2015,9,2225.7988505747126
PACE,2015,9,6452.643055555555
BANC,2015,9,2155.6319444444443
LGEE,2015,9,4205.851388888889
TEPC,2015,9,1924.4319444444445
FMPP,2015,9,2295.681502086231
SCL,2015,9,1001.1436781609195
AEC,2015,9,531.5790229885057
CISO,2015,9,30479.49722222222
WALC,2015,9,1206.8083333333334
